"","name","ticker","date"
"1064","Kid ASA","KID","2020-08-20T07:30:17.079+02:00"
"1065","Kahoot! AS","KAHOOT-ME","2020-08-20T07:23:07.221+02:00"
"1066","Odfjell SE","ODF","2020-08-20T07:00:21.55+02:00"
"1067","Odfjell SE","ODF","2020-08-20T07:00:21.16+02:00"
"1068","Targovax ASA","TRVX","2020-08-20T07:00:17.284+02:00"
"1069","Otello Corporation ASA","OTELLO","2020-08-20T07:00:16.377+02:00"
"1070","Navamedic ASA","NAVA","2020-08-20T07:00:15.596+02:00"
"1071","Navamedic ASA","NAVA","2020-08-20T07:00:14.987+02:00"
"1072","Thin Film Electronics ASA","THIN","2020-08-20T07:00:01.985+02:00"
"1073","Austevoll Seafood ASA","AUSS","2020-08-20T05:00:00Z"
"1074","Austevoll Seafood ASA","AUSS","2020-08-20T05:00:00Z"
"1075","B2Holding ASA","B2H","2020-08-20T05:00:00Z"
"1076","Fjordkraft Holding ASA","FKRAFT","2020-08-20T05:00:00Z"
"1077","Fjordkraft Holding ASA","FKRAFT","2020-08-20T05:00:00Z"
